dagbani,english,usage,category
Gbulli yi yi na o tibgiri o ma.,When the penis comes out it honours its mother.,The child honours its mother,idiom
Gbulli yi yi na o yuri o ma.,When the penis comes out it loves its mother.,The child's first love is for mother,idiom
Guli yuurila bɛn tibigi li noli ni.,Kola nuts last longer in the mouth of those who value them.,Things are better preserved by those who value them,idiom
Jɛrigu n-zabiri sinsabiga zuɣu ka di na pumda di na bi woli.,The fool quarrels over a tree that hasn't fruited.,Don't count chickens before they hatch,idiom
Jɛrigu ʒi gbɛligu naɣla zukɔɣili.,The fool doesn't know you warn him unless you knock his head.,A fool needs direct correction,idiom
Kɔbiliga ni zimbila bi mi ni teeku beni.,The small fish in the well doesn't know there is an ocean.,Perspective is limited by one's small world,idiom
Kpakpili ʒini n-tabili tia ku teei nabili.,A tortoise sits against a tree but cannot stretch its legs.,Reliance on others limits your freedom,idiom
Lari pala yurilim.,Laughter is not love.,Friendliness is not affection,idiom
M baɣabaɣa n-daan tarima m mini nabia bi tɔri woli.,I'm a commoner I don't play draughts with a prince.,Know your place avoid risky entanglements,idiom
Mali tamaha gbe kum ka bɛn' daŋ wolima pulaa lo.,Those who hope go hungry; those who act are satisfied.,Action beats passive hope,idiom
Naa kpi,The chief has died,Used when something has ended with no hope of return,idiom
Naawuni yi bi nam a waribara a yi da muɣuri bahi ni kpuɣi li.,If God didn't make you a rider dogs will carry your boots.,Possessions are useless without proper status,idiom
Nakɔha bi kuli zoo ŋun ni kuli?,Will the fly go home before the butcher?,Dependents cannot outlive providers,idiom
Nira yi vuɣiri tigbura ti ni nya o ni yɛn kɔri shɛm.,If a person uproots stumps we see how he farms.,Character shows in handling difficult tasks,idiom
Noo yi ti doni n-zahim zahinli ka o wari Damba to! -- ʒiɛduɣu m-boon' o.,When the fowl dreams of dancing Damba the pot is calling it.,Aspirations may lead to downfall,idiom
Ŋun' vaai n-ʒi ŋun' ka yɛla doli.,One who thinks too much of himself has problems.,Conceit leads to difficulties,idiom
Ŋun zɔri kuuli n-niŋdi kaasa.,"The one who ran away says ""Whew!""",Relief after escape,idiom
Ŋun ʒia bi lɔri ŋun chani gbaɣa.,The one who doesn't travel doesn't tie loads for the traveler.,Without experience you cannot assist the experienced,idiom
Sana ku tooi baŋ tiŋ' gbinni.,A stranger cannot know a village's secrets.,Outsiders cannot understand inner workings,idiom
Takahi bi naara naɣla achiama.,Problems never end until Judgement Day.,Troubles are permanent,idiom
Tarim' mila o zaashee.,A poor person knows his place.,Even the humble know their position,idiom
Teeŋa zuu pala kpɛma.,A bushy beard does not make an elder.,Appearances don't confer wisdom,idiom
A yi bɔri ni bɛ bol' a tayiɣa a bi baɣisiri zimsim ni yuŋ.,If you don't want to be called a thief you do not sneak about in the dark at night.,Avoid suspicious behaviour if you want a good reputation.,proverb
A yi bi mi di piribu di ka vi ni a bɔhi ka bɛ wuhi a.,If you don't know how to put it on don't be embarrassed to ask someone to show you.,It is not shameful to seek knowledge.,proverb
A yi chaŋ di gbini di mali la tiyɔɣ' titali di zuɣusaa zaŋ n-ti siɣi di gbinni ka kuɣ' titali do di gbinni.,If you go to the bottom of a hollow baobab it has a big hole from top to bottom and there is a big stone lying at the bottom.,Things are often more complex than they appear on the surface.,proverb
A yi je takahi a bi nyɛri bindi sɔkpaŋa.,If you hate to be unpopular you do not defecate on the roadside.,If you can't handle criticism don't do things that attract it.,proverb
A yi je yɛtɔɣa yoli a bi nyɛri bindi sokpaŋa.,If you don't like people criticising you do not defecate on the roadside.,To avoid criticism avoid doing things that invite it.,proverb
A yi kuli wumdi so yɛla so m-be shɛli n-yɛri a gba yɛla.,If you are listening to someone talking about another person someone is somewhere else talking about you.,Gossip is a two-way street.,proverb
A yi laɣi jɛŋkuno zɔri a ni bɔhim nimkaha ŋubbu.,If you want a cat as your friend you will learn to eat raw meat.,You adopt the habits of those you associate with.,proverb
A yi mini jɛrigu chaŋ mɔɣu ni ka o ti ku n-ti a bimbee a mi yi ti ku nyin' tarimi o bin' zuɣu.,If you go hunting with a fool and he kills an animal and gives you the lower leg when you kill one you give him the head.,Deal with people as they deal with you; reciprocity.,proverb
A yi nya kɔbili ka di do tampuli zuɣu nyin' baŋmi ni dahinshɛli kpam ni yalim ni ka di yina.,If you see a bone on the refuse dump know that it once had fat and salt on it.,Everything of value once had its time of glory.,proverb
A yi tim bia dari ni ka o chaŋ nti ʒe tua gbinni yɛlimi o ni o chɛla dama tua ka dari.,If you send a child for firewood and she stands under a baobab tree tell her to stop because baobab is not firewood.,Give clear instructions and ensure they are understood.,proverb
A yi tu jaŋa ni o nin-lɛɣira di yaɣi diɛma.,If you insult the monkey for having deep-set eyes it has gone beyond joking.,Some insults cross the line and are no longer a joke.,proverb
A yi yɛli ni a ku biɛli dabili yɔɣuni a lee n-ti biɛhi o bindi naba.,If you say you will not accompany a slave to the toilet you will trace the footprints of his faeces.,Refusing small help leads to greater inconvenience later.,proverb
A yi yɛli yɛlimaŋli ka gbe kum di so ni a ŋma ʒiri ka di tiɣi.,It is better to tell the truth and go to bed hungry than to tell lies and eat until full.,Honesty and integrity are more valuable than material gain.,proverb
A yi yɛn yiɣi a zahindila sagbana ka naanyi yiɣi.,If you are going to fly you should measure the sky before you fly.,Plan ahead and assess the risks before undertaking a big task.,proverb
A yi zaŋ kunduŋ gbaŋ she timpani di na kuli kumdila kunduŋ kumsi.,If you use a hyena's skin to cover a drum it will still sound like a hyena.,True nature cannot be hidden; it will always show itself.,proverb
A yi ʒiri malifa tim a ni lan nyurila taba?,If you are carrying gunpowder will you also be smoking a pipe?,Do not engage in risky behaviour alongside dangerous activities.,proverb
A zo simo n-nyɛ ŋun yɛn yɛli a a tuumbiɛri.,Your true friend is the one who will tell you your faults.,True friendship includes honest correction.,proverb
Alibarika tibila yi kuli pɔri kabo di ni lɛbigi yɔɣu.,No matter how small a blessed tree is it will become a forest.,Great things can grow from small blessed beginnings.,proverb
Alizanda soli bili mɔri wuntizɔriba n-kani.,If heaven's path is overgrown with grass there are no good persons.,A lack of righteous people leads to neglect of the right path.,proverb
Baa ŋun je tihigibu niŋdila yum o kpali ni.,The dog that does not want to prosper develops a sore on its head.,Those who resist improvement will suffer consequences.,proverb
Baa yi zɔra a bi mal' o kariti wɔbiri.,Even if your dog runs fast you do not chase elephants with it.,Use appropriate tools and people for the task at hand.,proverb
Baɣibaɣi noli tiligi tapaɣa.,The one who apologizes is safe from being slapped.,A sincere apology can prevent further conflict.,proverb
Bandɔɣu yi mali kɔbiri o zuli ni bɛ bi boon' o jɛŋkuno.,Even if a lizard has hair on its tail they do not call it a cat.,Changing appearance does not change your true identity.,proverb
Bɛn daŋ wolima ni tiligi saa.,Those who start struggling early will be saved from the rain.,Early effort and preparation lead to success.,proverb
Bɛn do yɛliga bi nya Naawuni balle bɛ m-pili bɛ puya zuɣu n-ni nya?,Those who lie on their backs cannot see God how much more those on their stomachs?,One's attitude affects their spiritual perception.,proverb
Biɛɣu kam wahala saɣiri li mi.,Sufficient unto the day is the evil thereof.,Do not worry about tomorrow's troubles.,proverb
Bilikɔɣino gbinni ku yaɣisi baŋbu.,The secrets of a hypocrite are quickly known.,Hypocrisy is soon exposed.,proverb
Binnyɛra din bindi tiŋgban' ni ka mali biɛlim mini tihi din wala mali kpila balibu kam zaa bilimiya.,Let the land produce vegetation: seed-bearing plants and trees that bear fruit.,Creation follows divine order and purpose.,proverb
Bua yino gbali bilisi ka pii.,People turn over the thighs of a slaughtered goat before selecting one.,Careful examination precedes wise choice.,proverb
Buɣ' tikpira ku yɛli wum.,A deaf god will not hear someone begging.,Appealing to those who cannot hear is futile.,proverb
Buɣili yi kum buɣi' tindana n-kum ti o.,If a 'god' cries its priest makes it cry.,Those with vested interests may manipulate situations.,proverb
Bulaa tulaale nyɛla o paɣa dulim.,The male goat's perfume is the urine of its wife.,What is prized by one may be common to others.,proverb
Bulaa yi ti kpɛ kpatuɣa ni o lɔrigiri la o nyɔɣu.,When a male goat enters a thicket he unties his chest.,One adapts when entering a difficult situation.,proverb
Buna bee buhi yi diri laɣinda bɛ yi ti kari ba bɛ zɔri la taba.,When sheep or goats eat together and are chased they run together.,Unity in good times should mean unity in trouble.,proverb
Chaŋ tiŋ' shɛli di yi pa di ni ka a kuli niŋdi nambɔɣu.,If you are going to a town do acts of kindness there.,Everywhere you go you should do good.,proverb
Di bi tu ni o nyɛla ŋun nyuri dam kuuna bee vubɔra.,It is not right that a leader should be a drunkard or rowdy.,Leaders must be of good character.,proverb
Di zaŋdi bɛ yɛliya tumdi tuma faashee a yulila di puuni ka di tuhi.,Do not act on rumors; investigate the case and judge justly.,Verify information before taking action.,proverb
Doo ni paɣa yi laɣim bɛ ni tooi duɣi ʒɛri.,If a man and a woman come together they can cook soup.,Cooperation between spouses leads to good things.,proverb
Kpaŋ chamiya pumpɔŋɔ ka o na yoli paa' na.,Hurry now for he has just arrived in the town.,Seize a timely opportunity.,proverb
Naɣ' so ŋun ka zuli Naawuni n-kariti o zɔhi.,The one who has no tail it is God who drives away the flies.,Have faith when you have no one to rely on.,proverb
Naɣila a doli HIV taɣibu saɣisigu soya.,Unless you follow the recommendations for AIDS protection.,Following expert advice is essential for safety.,proverb
